Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008,SE_A12003_001,SE_A12003_002,SE_A12003_003,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010,SE_A14006_001,SE_A06001_001,SE_A06001_002,SE_A06001_003,SE_A06001_004,SE_A06001_005
"340130001001","Block Group 1, Census Tract 1, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"000100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,2405,2405,1197,195,0,0,0,878,135,1668,310,624,552,88,94,0,0,162,0,162,1711,1570,141,71582,,,,,,,,,,71582,,,,,
"340130001002","Block Group 2, Census Tract 1, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"000100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,2420,2420,1185,376,13,85,0,557,204,1766,364,812,59,315,161,0,55,0,0,0,1243,1221,22,39071,,,,,,,,,,39071,,,,,
"340130001003","Block Group 3, Census Tract 1, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"000100","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,1751,1751,304,462,0,0,0,859,126,1356,530,380,174,140,100,32,0,47,0,47,1138,1138,0,,,,,,,,,,,,,,,,
"340130002001","Block Group 1, Census Tract 2, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"000200","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1708,1708,506,637,128,0,0,63,374,1397,320,470,480,127,0,0,0,37,0,37,700,637,63,47333,,,,,,,,,,47333,,,,,
"340130002002","Block Group 2, Census Tract 2, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"000200","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1736,1736,232,134,0,19,0,550,801,1059,126,390,441,45,57,0,0,36,0,36,922,877,45,62994,,,,,,,,,,62994,,,,,
"340130003001","Block Group 1, Census Tract 3, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"000300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,2280,2280,445,0,0,0,0,1725,110,1136,503,431,122,62,18,0,0,59,0,59,953,917,36,65381,,,,,,,,,,65381,,,,,
"340130003002","Block Group 2, Census Tract 3, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"000300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,2143,2143,297,1033,0,11,68,327,407,1776,281,723,475,274,23,0,0,165,0,165,922,775,147,16823,,,,,,,,,,16823,,,,,
"340130004001","Block Group 1, Census Tract 4, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"000400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,2383,2383,811,125,0,45,0,1148,254,1634,385,652,423,115,36,23,0,125,0,125,1187,1155,32,51449,,,,,,,,,,51449,,,,,
"340130005001","Block Group 1, Census Tract 5, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"000500","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1221,1221,659,91,0,38,0,367,66,745,68,471,103,62,39,2,0,66,0,66,683,622,61,,,,,,,,,,,,,,,,
"340130005002","Block Group 2, Census Tract 5, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"000500","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,931,931,251,0,69,47,0,514,50,560,93,288,179,0,0,0,0,92,0,92,343,318,25,48600,,,,,,,,,,48600,,,,,
"340130006001","Block Group 1, Census Tract 6, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"000600","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,2793,2793,738,264,0,20,0,1493,278,1866,194,789,543,229,73,0,38,309,0,309,1502,1421,81,50565,,,,,,,,,,50565,,,,,
"340130006002","Block Group 2, Census Tract 6, Essex County, New Jersey","nj","150","00",,,,"34","013",,,"000600","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1455,1455,211,95,0,0,0,745,404,1015,377,373,162,54,0,22,27,64,0,64,870,753,117,28379,,,,,,,,,,28379,,,,,
